"method","colour","shape","label"
"Initial","#666666",16,"Initial"
"FiberMargin","#C51B7D",17,"FiberMargin"
"Alpha-expansion Potts","#7B3294",15,"Alpha-Potts"
"Coordinate CRF","#2166AC",3,"Coord. CRF"
"Harmonic propagation","#4393C3",7,"Harmonic"
"Multiscale mode","#1B9E77",8,"Multiscale"
"SpaGCN correction","#B8A100",0,"SpaGCN"
"GraphST correction","#E08214",1,"GraphST"
"8-NN modal filter","#D6604D",2,"8-NN filter"
"48-NN modal filter","#111111",6,"48-NN filter"
"Potts ICM","#4D9221",4,"Potts ICM"
